"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"GLI3_HUMAN.H11MO.0.B","GLI3_HUMAN.H11MO.0.B",610,5000,13.7542277339346,15.3350713080816,0.896913190529876,0.999316744178026,"GLI3",1
"P73_HUMAN.H11MO.0.A","P73_HUMAN.H11MO.0.A",654,5341,14.7463359639233,16.3809231712927,0.900213975105262,0.999360120677921,"P73",1
"PTF1A_HUMAN.H11MO.0.B","PTF1A_HUMAN.H11MO.0.B",1625,12671,36.6403607666291,38.8621377089403,0.942829265879521,0.999501874320258,"PTF1A",1
"ZKSC1_HUMAN.H11MO.0.B","ZKSC1_HUMAN.H11MO.0.B",635,5211,14.3179255918828,15.9822113172826,0.895866367152825,0.999539219244729,"ZKSC1",1
"ZN549_HUMAN.H11MO.0.C","ZN549_HUMAN.H11MO.0.C",668,5470,15.0620067643743,16.7765680110413,0.897800238669879,0.999589716043425,"ZN549",1
"NR2C1_HUMAN.H11MO.0.C","NR2C1_HUMAN.H11MO.0.C",655,5375,14.7688838782413,16.4852016561877,0.89588736530243,0.999629195890184,"NR2C1",1
"USF1_HUMAN.H11MO.0.A","USF1_HUMAN.H11MO.0.A",454,3821,10.2367531003382,11.7190614936359,0.873513045895126,0.999633626198658,"USF1",1
"ZN528_HUMAN.H11MO.0.C","ZN528_HUMAN.H11MO.0.C",1001,8013,22.5704622322435,24.5759852783315,0.918395009462498,0.999639022686041,"ZN528",1
"PPARA_HUMAN.H11MO.0.B","PPARA_HUMAN.H11MO.0.B",1091,8700,24.5997745208568,26.683024076062,0.92192603247418,0.999681782217178,"PPARA",1
"ATF1_HUMAN.H11MO.0.B","ATF1_HUMAN.H11MO.0.B",295,2577,6.65163472378805,7.90369575218525,0.841585371242178,0.999690135348275,"ATF1",1
"VDR_HUMAN.H11MO.0.A","VDR_HUMAN.H11MO.0.A",928,7477,20.9244644870349,22.9320656341052,0.912454412999565,0.999739217120623,"VDR",1
"TFAP4_HUMAN.H11MO.0.A","TFAP4_HUMAN.H11MO.0.A",1043,8356,23.5174746335964,25.6279711700659,0.917648708028256,0.999773899601852,"TFAP4",1
"ZN134_HUMAN.H11MO.0.C","ZN134_HUMAN.H11MO.0.C",713,5851,16.0766629086809,17.9451004447171,0.895880352311643,0.999806487491372,"ZN134",1
"KAISO_HUMAN.H11MO.0.A","KAISO_HUMAN.H11MO.0.A",411,3520,9.26719278466742,10.7958902008894,0.858400058932049,0.999851154222223,"KAISO",1
"COE1_HUMAN.H11MO.0.A","COE1_HUMAN.H11MO.0.A",1182,9433,26.651634723788,28.9311455298267,0.92120910650812,0.999865132181458,"COE1",1
"ETV5_HUMAN.H11MO.0.C","ETV5_HUMAN.H11MO.0.C",2317,17859,52.2435174746336,54.7738076982058,0.953804741172758,0.999871207139695,"ETV5",1
"ELF5_HUMAN.H11MO.0.A","ELF5_HUMAN.H11MO.0.A",1697,13302,38.2638105975197,40.7974237080202,0.937897718036484,0.999900453627857,"ELF5",1
"MZF1_HUMAN.H11MO.0.B","MZF1_HUMAN.H11MO.0.B",1406,11145,31.7023675310034,34.1818739457138,0.927461366844653,0.999921763451499,"MZF1",1
"ATF6A_HUMAN.H11MO.0.B","ATF6A_HUMAN.H11MO.0.B",423,3646,9.53776775648253,11.1823339978531,0.852931754525817,0.999936681991027,"ATF6A",1
"TBX21_HUMAN.H11MO.0.A","TBX21_HUMAN.H11MO.0.A",1321,10520,29.7857948139797,32.2649900322036,0.923161444781187,0.999938022044925,"TBX21",1
"ZN816_HUMAN.H11MO.0.C","ZN816_HUMAN.H11MO.0.C",1433,11360,32.3111612175874,34.8412820119614,0.92738152420725,0.999938357478794,"ZN816",1
"ATF3_HUMAN.H11MO.0.A","ATF3_HUMAN.H11MO.0.A",352,3088,7.93686583990981,9.47094003987119,0.838023026911461,0.999943187822592,"ATF3",1
"RFX1_HUMAN.H11MO.0.B","RFX1_HUMAN.H11MO.0.B",1230,9841,27.7339346110485,30.1824873485662,0.918875051309049,0.999944167356567,"RFX1",1
"BHE40_HUMAN.H11MO.0.A","BHE40_HUMAN.H11MO.0.A",310,2754,6.98985343855693,8.44655727649134,0.827538748598943,0.99994493956478,"BHE40",1
"ZBT7A_HUMAN.H11MO.0.A","ZBT7A_HUMAN.H11MO.0.A",712,5907,16.054114994363,18.1168532433676,0.886142575573398,0.999953059434895,"ZBT7A",1
"RARG_HUMAN.H11MO.0.B","RARG_HUMAN.H11MO.0.B",889,7295,20.0450958286359,22.373869038491,0.89591548936624,0.999975958621835,"RARG",1
"MYOD1_HUMAN.H11MO.0.A","MYOD1_HUMAN.H11MO.0.A",1342,10727,30.2593010146561,32.8998619843582,0.919739451461605,0.999976186796743,"MYOD1",1
"TBX3_HUMAN.H11MO.0.C","TBX3_HUMAN.H11MO.0.C",1449,11540,32.6719278466742,35.3933445790523,0.92310936520001,0.999980598457533,"TBX3",1
"SRBP1_HUMAN.H11MO.0.A","SRBP1_HUMAN.H11MO.0.A",735,6122,16.5727170236753,18.7762613096151,0.882642010057062,0.999980649954669,"SRBP1",1
"NFIC_HUMAN.H11MO.0.A","NFIC_HUMAN.H11MO.0.A",1428,11386,32.1984216459977,34.9210243827634,0.922035427514277,0.999981841416039,"NFIC",1
"ZN335_HUMAN.H11MO.0.A","ZN335_HUMAN.H11MO.0.A",1302,10442,29.3573844419391,32.0257629197976,0.916680252566007,0.999982661963464,"ZN335",1
"MYOG_HUMAN.H11MO.0.B","MYOG_HUMAN.H11MO.0.B",1304,10469,29.402480270575,32.1085723048612,0.91572057428799,0.999986419135361,"MYOG",1
"BHA15_HUMAN.H11MO.0.B","BHA15_HUMAN.H11MO.0.B",1355,10854,30.5524239007892,33.2893727955835,0.917783104187609,0.999986807283005,"BHA15",1
"MYC_HUMAN.H11MO.0.A","MYC_HUMAN.H11MO.0.A",474,4105,10.6877113866967,12.590093543935,0.848898489070029,0.999987216440736,"MYC",1
"ETS2_HUMAN.H11MO.0.B","ETS2_HUMAN.H11MO.0.B",2212,17216,49.8759864712514,52.8017175279865,0.944590229376831,0.999987369880761,"ETS2",1
"RXRB_HUMAN.H11MO.0.C","RXRB_HUMAN.H11MO.0.C",829,6864,18.6922209695603,21.0519858917344,0.887907728310772,0.99998753004227,"RXRB",1
"SNAI2_HUMAN.H11MO.0.A","SNAI2_HUMAN.H11MO.0.A",1059,8628,23.8782412626832,26.4621990492256,0.90235287015506,0.999989417685422,"SNAI2",1
"ZSC31_HUMAN.H11MO.0.C","ZSC31_HUMAN.H11MO.0.C",1366,10962,30.8004509582864,33.6206103358381,0.916118138564976,0.999992179798727,"ZSC31",1
"KLF8_HUMAN.H11MO.0.C","KLF8_HUMAN.H11MO.0.C",903,7456,20.3607666290868,22.8676583346113,0.890373921595192,0.999992967845576,"KLF8",1
"ETV2_HUMAN.H11MO.0.B","ETV2_HUMAN.H11MO.0.B",1719,13606,38.7598647125141,41.7297960435516,0.928829478870735,0.999993017863113,"ETV2",1
"COT2_HUMAN.H11MO.0.A","COT2_HUMAN.H11MO.0.A",1053,8617,23.7429537767756,26.4284618923478,0.898385758258988,0.999995117343025,"COT2",1
"SMAD3_HUMAN.H11MO.0.B","SMAD3_HUMAN.H11MO.0.B",1825,14415,41.1499436302142,44.2110105811992,0.930762339273766,0.999995544115993,"SMAD3",1
"REST_HUMAN.H11MO.0.A","REST_HUMAN.H11MO.0.A",986,8111,22.2322435174746,24.8765526759699,0.893702749213735,0.999995620071208,"REST",1
"MYCN_HUMAN.H11MO.0.A","MYCN_HUMAN.H11MO.0.A",532,4604,11.9954904171364,14.1205336604815,0.849506874567187,0.999996183255182,"MYCN",1
"PPARG_HUMAN.H11MO.0.A","PPARG_HUMAN.H11MO.0.A",1344,10835,30.304396843292,33.2310995246128,0.911928803946041,0.999996554190201,"PPARG",1
"ZN449_HUMAN.H11MO.0.C","ZN449_HUMAN.H11MO.0.C",1014,8337,22.8635851183766,25.5696978990952,0.89416719777458,0.999996712537075,"ZN449",1
"ESR1_HUMAN.H11MO.0.A","ESR1_HUMAN.H11MO.0.A",775,6513,17.4746335963923,19.9754638859071,0.874804895455815,0.99999747028199,"ESR1",1
"TFE2_HUMAN.H11MO.0.A","TFE2_HUMAN.H11MO.0.A",1380,11135,31.1161217587373,34.1512038030977,0.911128109513813,0.999998179619393,"TFE2",1
"ZIC1_HUMAN.H11MO.0.B","ZIC1_HUMAN.H11MO.0.B",879,7336,19.8196166854566,22.4996166232173,0.88088686209012,0.999998520302764,"ZIC1",1
"NR1D1_HUMAN.H11MO.0.B","NR1D1_HUMAN.H11MO.0.B",1346,10916,30.3494926719278,33.4795276798037,0.906508985496709,0.999999211227451,"NR1D1",1
"ZN667_HUMAN.H11MO.0.C","ZN667_HUMAN.H11MO.0.C",986,8189,22.2322435174746,25.115779788376,0.885190255082746,0.999999334277096,"ZN667",1
"ERG_HUMAN.H11MO.0.A","ERG_HUMAN.H11MO.0.A",1924,15250,43.3821871476888,46.7719674896488,0.927525384885505,0.999999498563962,"ERG",1
"FEV_HUMAN.H11MO.0.B","FEV_HUMAN.H11MO.0.B",957,7997,21.5783540022548,24.5269130501457,0.879782708820204,0.999999693016779,"FEV",1
"Z324A_HUMAN.H11MO.0.C","Z324A_HUMAN.H11MO.0.C",1535,12398,34.6110484780158,38.0248428155191,0.910222000020733,0.999999812228911,"Z324A",1
"MAX_HUMAN.H11MO.0.A","MAX_HUMAN.H11MO.0.A",458,4127,10.3269447576099,12.6575678576905,0.81587117475617,0.999999879523514,"MAX",1
"ZN768_HUMAN.H11MO.0.C","ZN768_HUMAN.H11MO.0.C",1549,12533,34.9267192784667,38.4388897408373,0.908629763084982,0.999999908584803,"ZN768",1
"RORA_HUMAN.H11MO.0.C","RORA_HUMAN.H11MO.0.C",1009,8448,22.7508455467869,25.9101364821346,0.878067375772949,0.999999921680985,"RORA",1
"ZBT48_HUMAN.H11MO.0.C","ZBT48_HUMAN.H11MO.0.C",681,5907,15.3551296505073,18.1168532433676,0.847560525232422,0.999999923257744,"ZBT48",1
"ASCL1_HUMAN.H11MO.0.A","ASCL1_HUMAN.H11MO.0.A",1449,11803,32.6719278466742,36.1999693298574,0.90254020794782,0.999999945021995,"ASCL1",1
"ZN436_HUMAN.H11MO.0.C","ZN436_HUMAN.H11MO.0.C",1425,11631,32.130777903044,35.6724428768594,0.900717060896525,0.999999955704782,"ZN436",1
"BACH1_HUMAN.H11MO.0.A","BACH1_HUMAN.H11MO.0.A",893,7580,20.1352874859076,23.2479681030517,0.866109562635905,0.999999960868553,"BACH1",1
"ETS1_HUMAN.H11MO.0.A","ETS1_HUMAN.H11MO.0.A",1457,11880,32.8523111612176,36.4361294280018,0.901641081996212,0.999999963888126,"ETS1",1
"SRBP2_HUMAN.H11MO.0.B","SRBP2_HUMAN.H11MO.0.B",1439,11757,32.4464487034949,36.058886673823,0.899818372014504,0.999999973657682,"SRBP2",1
"ZEB1_HUMAN.H11MO.0.A","ZEB1_HUMAN.H11MO.0.A",1030,8679,23.2243517474634,26.618616776568,0.872485296377512,0.999999988430303,"ZEB1",1
"MBD2_HUMAN.H11MO.0.B","MBD2_HUMAN.H11MO.0.B",881,7536,19.8647125140924,23.1130194755406,0.859459861361444,0.999999990464803,"MBD2",1
"ESR2_HUMAN.H11MO.0.A","ESR2_HUMAN.H11MO.0.A",890,7610,20.0676437429538,23.3399785309002,0.859797009512494,0.999999991585445,"ESR2",1
"STF1_HUMAN.H11MO.0.B","STF1_HUMAN.H11MO.0.B",989,8391,22.2998872604284,25.7353166692225,0.86650914566353,0.999999994717106,"STF1",1
"USF2_HUMAN.H11MO.0.A","USF2_HUMAN.H11MO.0.A",509,4626,11.4768883878241,14.1880079742371,0.808914712246013,0.999999994804821,"USF2",1
"ELF1_HUMAN.H11MO.0.A","ELF1_HUMAN.H11MO.0.A",1037,8784,23.3821871476888,26.9406532740377,0.867914631091068,0.999999997327026,"ELF1",1
"SUH_HUMAN.H11MO.0.A","SUH_HUMAN.H11MO.0.A",1074,9115,24.2164599774521,27.9558349946327,0.866239909560971,0.999999999322449,"SUH",1
"HTF4_HUMAN.H11MO.0.A","HTF4_HUMAN.H11MO.0.A",1269,10617,28.6133032694476,32.5624904155804,0.878719744843495,0.999999999508245,"HTF4",1
"ELF2_HUMAN.H11MO.0.C","ELF2_HUMAN.H11MO.0.C",1021,8719,23.021420518602,26.7412973470327,0.86089392821312,0.999999999529817,"ELF2",1
"E2F3_HUMAN.H11MO.0.A","E2F3_HUMAN.H11MO.0.A",1282,10724,28.9064261555806,32.8906609415734,0.878864252893236,0.999999999611383,"E2F3",1
"MECP2_HUMAN.H11MO.0.C","MECP2_HUMAN.H11MO.0.C",1098,9322,24.7576099210823,28.5907069467873,0.865932065519082,0.999999999656207,"MECP2",1
"THB_HUMAN.H11MO.0.C","THB_HUMAN.H11MO.0.C",916,7919,20.6538895152198,24.2876859377396,0.850385235059658,0.99999999968461,"THB",1
"ZBTB6_HUMAN.H11MO.0.C","ZBTB6_HUMAN.H11MO.0.C",1172,9897,26.4261555806088,30.3542401472167,0.870591899268212,0.999999999727419,"ZBTB6",1
"ZN563_HUMAN.H11MO.0.C","ZN563_HUMAN.H11MO.0.C",1294,10833,29.1770011273957,33.2249654960896,0.878164979007419,0.999999999768647,"ZN563",1
"HEN1_HUMAN.H11MO.0.C","HEN1_HUMAN.H11MO.0.C",1288,10801,29.0417136414882,33.1268210397178,0.876682782409704,0.999999999845288,"HEN1",1
"THA11_HUMAN.H11MO.0.B","THA11_HUMAN.H11MO.0.B",897,7807,20.2254791431793,23.9441803404386,0.844692900555091,0.999999999900602,"THA11",1
"SALL4_HUMAN.H11MO.0.B","SALL4_HUMAN.H11MO.0.B",1967,15921,44.3517474633596,48.8299340591934,0.90829013632488,0.999999999941145,"SALL4",1
"ZN331_HUMAN.H11MO.0.C","ZN331_HUMAN.H11MO.0.C",1138,9722,25.6595264937993,29.8175126514338,0.860552212847487,0.999999999980628,"ZN331",1
"NR2C2_HUMAN.H11MO.0.B","NR2C2_HUMAN.H11MO.0.B",596,5487,13.4385569334837,16.8287072534887,0.798549569557562,0.999999999987555,"NR2C2",1
"ITF2_HUMAN.H11MO.0.C","ITF2_HUMAN.H11MO.0.C",1330,11209,29.988726042841,34.3781628584573,0.872319040616319,0.999999999989554,"ITF2",1
"ZIC3_HUMAN.H11MO.0.B","ZIC3_HUMAN.H11MO.0.B",1193,10180,26.8996617812852,31.2222051832541,0.861555473849514,0.999999999993877,"ZIC3",1
"OSR2_HUMAN.H11MO.0.C","OSR2_HUMAN.H11MO.0.C",1599,13259,36.054114994363,40.6655420947707,0.886601115763788,0.999999999994017,"OSR2",1
"RARA_HUMAN.H11MO.0.A","RARA_HUMAN.H11MO.0.A",1378,11594,31.0710259301015,35.5589633491796,0.873788856693944,0.999999999994484,"RARA",1
"FLI1_HUMAN.H11MO.0.A","FLI1_HUMAN.H11MO.0.A",2472,19693,55.7384441939121,60.3987118540101,0.922841605109685,0.999999999995132,"FLI1",1
"ELK1_HUMAN.H11MO.0.B","ELK1_HUMAN.H11MO.0.B",670,6106,15.1071025930101,18.7271890814292,0.80669354740435,0.99999999999546,"ELK1",1
"ZN554_HUMAN.H11MO.0.C","ZN554_HUMAN.H11MO.0.C",1034,8967,23.3145434047351,27.5019168839135,0.847742486574536,0.999999999995848,"ZN554",1
"NRF1_HUMAN.H11MO.0.A","NRF1_HUMAN.H11MO.0.A",793,7090,17.880496054115,21.7451311148597,0.822275844632467,0.999999999996631,"NRF1",1
"ZN143_HUMAN.H11MO.0.A","ZN143_HUMAN.H11MO.0.A",982,8581,22.1420518602029,26.3180493789296,0.841325720664161,0.99999999999771,"ZN143",1
"NR1H3_HUMAN.H11MO.0.B","NR1H3_HUMAN.H11MO.0.B",803,7197,18.1059751972942,22.0733016408526,0.820265834803083,0.999999999998791,"NR1H3",1
"E2F6_HUMAN.H11MO.0.A","E2F6_HUMAN.H11MO.0.A",1765,14601,39.7970687711387,44.7814752338598,0.888694902597751,0.999999999999748,"E2F6",1
"MXI1_HUMAN.H11MO.0.A","MXI1_HUMAN.H11MO.0.A",671,6206,15.1296505073281,19.0338905075909,0.794879559767051,0.999999999999875,"MXI1",1
"THA_HUMAN.H11MO.0.C","THA_HUMAN.H11MO.0.C",877,7886,19.7745208568207,24.1864744671063,0.817585914958966,0.999999999999977,"THA",1
"ZN322_HUMAN.H11MO.0.B","ZN322_HUMAN.H11MO.0.B",1110,9738,25.0281848928974,29.8665848796197,0.837999556821647,0.999999999999993,"ZN322",1
"COT1_HUMAN.H11MO.0.C","COT1_HUMAN.H11MO.0.C",1666,13971,37.564825253664,42.8492562490416,0.876673915536265,0.999999999999994,"COT1",1
"AP2B_HUMAN.H11MO.0.B","AP2B_HUMAN.H11MO.0.B",1119,9818,25.2311161217587,30.111946020549,0.837910512477026,0.999999999999995,"AP2B",1
"ETV1_HUMAN.H11MO.0.A","ETV1_HUMAN.H11MO.0.A",771,7127,17.3844419391206,21.8586106425395,0.795313216535749,0.999999999999999,"ETV1",1
"E2F1_HUMAN.H11MO.0.A","E2F1_HUMAN.H11MO.0.A",1377,11859,31.0484780157835,36.3717221285079,0.853643330554534,1,"E2F1",1
"ZN467_HUMAN.H11MO.0.C","ZN467_HUMAN.H11MO.0.C",2706,22155,61.0146561443067,67.9497009661095,0.897938552735328,1,"ZN467",1
"VEZF1_HUMAN.H11MO.0.C","VEZF1_HUMAN.H11MO.0.C",2689,22163,60.6313416009019,67.9742370802024,0.891975316021029,1,"VEZF1",1
"MAZ_HUMAN.H11MO.0.A","MAZ_HUMAN.H11MO.0.A",2715,22379,61.217587373168,68.6367121607115,0.891907340051898,1,"MAZ",1
"ZN281_HUMAN.H11MO.0.A","ZN281_HUMAN.H11MO.0.A",2295,19054,51.7474633596392,58.4388897408373,0.885497030986164,1,"ZN281",1
"ZN341_HUMAN.H11MO.0.C","ZN341_HUMAN.H11MO.0.C",2544,21245,57.3618940248027,65.1587179880386,0.880341047154009,1,"ZN341",1
"RXRA_HUMAN.H11MO.0.A","RXRA_HUMAN.H11MO.0.A",1932,16150,43.5625704622322,49.5322803251035,0.879478396235964,1,"RXRA",1
"ZBT17_HUMAN.H11MO.0.A","ZBT17_HUMAN.H11MO.0.A",2576,21582,58.0834272829763,66.1923017942033,0.877495202743695,1,"ZBT17",1
"EGR2_HUMAN.H11MO.0.A","EGR2_HUMAN.H11MO.0.A",2311,19577,52.108229988726,60.0429381996626,0.867849434940191,1,"EGR2",1
"ZN263_HUMAN.H11MO.0.A","ZN263_HUMAN.H11MO.0.A",2381,20170,53.6865839909808,61.8616776568011,0.867848820538389,1,"ZN263",1
"KLF5_HUMAN.H11MO.0.A","KLF5_HUMAN.H11MO.0.A",2028,17313,45.7271702367531,53.0992179113633,0.861164665609273,1,"KLF5",1
"WT1_HUMAN.H11MO.0.C","WT1_HUMAN.H11MO.0.C",2397,20471,54.0473506200676,62.7848489495476,0.86083428604724,1,"WT1",1
"EGR1_HUMAN.H11MO.0.A","EGR1_HUMAN.H11MO.0.A",1962,16774,44.23900789177,51.4460972243521,0.85990989168425,1,"EGR1",1
"ZSC22_HUMAN.H11MO.0.C","ZSC22_HUMAN.H11MO.0.C",2022,17305,45.5918827508455,53.0746817972704,0.85901377468438,1,"ZSC22",1
"KLF15_HUMAN.H11MO.0.A","KLF15_HUMAN.H11MO.0.A",2471,21188,55.7158962795941,64.9838981751265,0.857380025578708,1,"KLF15",1
"TAF1_HUMAN.H11MO.0.A","TAF1_HUMAN.H11MO.0.A",1780,15370,40.1352874859076,47.1400092010428,0.851406017227076,1,"TAF1",1
"KLF4_HUMAN.H11MO.0.A","KLF4_HUMAN.H11MO.0.A",1645,14232,37.0913190529876,43.6497469713234,0.849748775802881,1,"KLF4",1
"PATZ1_HUMAN.H11MO.0.C","PATZ1_HUMAN.H11MO.0.C",2369,20591,53.4160090191657,63.1528906609416,0.845820491510805,1,"PATZ1",1
"KLF6_HUMAN.H11MO.0.A","KLF6_HUMAN.H11MO.0.A",2253,19592,50.8004509582864,60.0889434135869,0.845420938901045,1,"KLF6",1
"IKZF1_HUMAN.H11MO.0.C","IKZF1_HUMAN.H11MO.0.C",1403,12246,31.6347237880496,37.5586566477534,0.842275166674308,1,"IKZF1",1
"ZNF76_HUMAN.H11MO.0.C","ZNF76_HUMAN.H11MO.0.C",1340,11703,30.2142051860203,35.8932679036958,0.841779167811836,1,"ZNF76",1
"KLF1_HUMAN.H11MO.0.A","KLF1_HUMAN.H11MO.0.A",1888,16562,42.5704622322435,50.7958902008894,0.838069026133498,1,"KLF1",1
"ZN770_HUMAN.H11MO.0.C","ZN770_HUMAN.H11MO.0.C",2349,20734,52.9650507328072,63.5914737003527,0.832895475616465,1,"ZN770",1
"E2F7_HUMAN.H11MO.0.B","E2F7_HUMAN.H11MO.0.B",1666,14721,37.564825253664,45.1495169452538,0.832009460903278,1,"E2F7",1
"SNAI1_HUMAN.H11MO.0.C","SNAI1_HUMAN.H11MO.0.C",1193,10566,26.8996617812852,32.406072688238,0.830080893790275,1,"SNAI1",1
"KLF3_HUMAN.H11MO.0.B","KLF3_HUMAN.H11MO.0.B",2013,17854,45.3889515219842,54.7584726268977,0.828893673336113,1,"KLF3",1
"SP4_HUMAN.H11MO.0.A","SP4_HUMAN.H11MO.0.A",2194,19490,49.4701240135287,59.776107958902,0.82759024805598,1,"SP4",1
"TFDP1_HUMAN.H11MO.0.C","TFDP1_HUMAN.H11MO.0.C",1482,13167,33.4160090191657,40.383376782702,0.827469411460392,1,"TFDP1",1
"KLF9_HUMAN.H11MO.0.C","KLF9_HUMAN.H11MO.0.C",1635,14549,36.8658399098083,44.6219904922558,0.826180981688983,1,"KLF9",1
"SP3_HUMAN.H11MO.0.B","SP3_HUMAN.H11MO.0.B",2088,18633,47.0800450958286,57.1476767366968,0.823831304862069,1,"SP3",1
"ZN320_HUMAN.H11MO.0.C","ZN320_HUMAN.H11MO.0.C",1397,12505,31.4994363021421,38.353013341512,0.821302775394915,1,"ZN320",1
"KLF12_HUMAN.H11MO.0.C","KLF12_HUMAN.H11MO.0.C",1661,14942,37.4520856820744,45.827327097071,0.817243510684002,1,"KLF12",1
"NR1H4_HUMAN.H11MO.0.B","NR1H4_HUMAN.H11MO.0.B",1123,10136,25.3213077790304,31.087256555743,0.81452371757625,1,"NR1H4",1
"SP1_HUMAN.H11MO.0.A","SP1_HUMAN.H11MO.0.A",1958,17809,44.1488162344983,54.620456985125,0.808283538281665,1,"SP1",1
"E2F4_HUMAN.H11MO.0.A","E2F4_HUMAN.H11MO.0.A",1450,13256,32.6944757609921,40.6563410519859,0.804166703520781,1,"E2F4",1
"SP2_HUMAN.H11MO.0.A","SP2_HUMAN.H11MO.0.A",1984,18204,44.7350620067644,55.8319276184634,0.8012451641016,1,"SP2",1
"THAP1_HUMAN.H11MO.0.C","THAP1_HUMAN.H11MO.0.C",1474,13526,33.2356257046223,41.4844349026223,0.801158935457054,1,"THAP1",1
"GABPA_HUMAN.H11MO.0.A","GABPA_HUMAN.H11MO.0.A",834,7690,18.8049605411499,23.5853396718295,0.797315654673854,1,"GABPA",1
"AP2A_HUMAN.H11MO.0.A","AP2A_HUMAN.H11MO.0.A",1069,9865,24.1037204058625,30.256095690845,0.796656668862793,1,"AP2A",1
"PAX5_HUMAN.H11MO.0.A","PAX5_HUMAN.H11MO.0.A",1220,11270,27.5084554678692,34.5652507284159,0.795841340310449,1,"PAX5",1
"AP2C_HUMAN.H11MO.0.A","AP2C_HUMAN.H11MO.0.A",1213,11244,27.3506200676437,34.4855083576139,0.793104737909573,1,"AP2C",1
"ZN121_HUMAN.H11MO.0.C","ZN121_HUMAN.H11MO.0.C",1106,10267,24.9379932356257,31.4890354240147,0.791957991085591,1,"ZN121",1
"ZFX_HUMAN.H11MO.0.A","ZFX_HUMAN.H11MO.0.A",997,9590,22.4802705749718,29.4126667689005,0.764305758182436,1,"ZFX",1
"ELK4_HUMAN.H11MO.0.A","ELK4_HUMAN.H11MO.0.A",574,5752,12.9425028184893,17.6414660328171,0.733641002080743,1,"ELK4",1
"CTCFL_HUMAN.H11MO.0.A","CTCFL_HUMAN.H11MO.0.A",1483,16295,33.4385569334837,49.9769973930379,0.669078949871884,1,"CTCFL",1
"CTCF_HUMAN.H11MO.0.A","CTCF_HUMAN.H11MO.0.A",1463,16632,32.9875986471251,51.0105811992026,0.646681489832561,1,"CTCF",1
